Time,Time Abs,Time diff,Move,Comment,P1 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P2 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P3 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P4 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P
31.47,207137,8823,All Off,,,0,1,0,1,1,0,0,1,,1,1,1,0,0,1,0,0,,0,1,1,1,1,0,0,1,,0,1,1,1,0,0,1,1
32.53,208196,1059,P3 On,,,0,1,0,0,0,1,0,0,,0,1,0,1,0,0,0,0,,1,1,0,1,0,0,0,1,,0,0,0,1,0,0,1,1
32.83,208549,353,P2 On,,,1,1,1,0,0,0,0,0,,0,1,1,0,1,0,0,0,,1,0,1,0,1,0,1,1,,1,0,1,0,1,1,0,0
33.2,208902,353,P1 On,,,1,1,1,0,1,1,0,1,,1,1,1,0,0,0,0,1,,1,1,0,0,1,0,0,1,,0,1,0,0,0,0,1,1
33.52,209255,353,P4 On,,,0,1,1,1,1,0,1,0,,0,1,0,0,0,1,0,1,,1,1,0,0,0,0,0,1,,0,1,0,1,1,0,0,0
33.75,209608,353,"P3 on, everyone else off",,,1,1,0,1,1,1,0,1,,0,0,1,1,1,0,0,0,,1,0,1,1,1,0,1,0,,0,1,1,0,0,1,1,1
34.07,211019,1411,P2 On,,,1,1,1,0,0,0,0,1,,1,0,1,0,0,1,0,1,,0,0,1,1,1,0,0,0,,0,1,1,0,0,1,0,1
35.37,212431,1412,P1 Arms On,,,1,1,1,1,1,1,1,0,,0,0,1,1,0,0,0,1,,0,0,0,1,0,1,0,1,,1,0,1,0,1,1,1,1
36.72,213843,1412,P4 Arms On,,,1,0,1,1,1,1,1,0,,0,1,1,1,1,0,0,1,,1,0,0,1,0,0,1,1,,1,1,0,1,1,0,1,1
41,216666,2823,"P234 Arms Off
P234 Legs On",,,0,1,0,1,0,0,0,1,,1,1,1,0,1,1,0,1,,0,0,0,0,1,1,0,1,,0,0,0,0,1,0,1,1
42.39,218078,1412,All On,,,0,0,1,1,0,0,0,1,,0,1,1,0,0,0,0,0,,0,0,1,1,0,1,0,1,,0,0,1,1,1,1,1,0
43.83,219490,1412,All Off,,,0,0,1,1,0,1,0,1,,1,0,1,0,0,1,1,0,,0,1,0,0,0,0,0,1,,0,0,0,1,1,1,1,1
45.2,220902,1412,P2 On,,,0,0,1,1,0,1,1,0,,0,1,0,0,1,0,1,0,,1,1,0,0,0,1,1,1,,1,1,0,1,1,0,1,0
46.63,222314,1412,P3 On,,,0,1,0,0,1,0,0,1,,0,0,0,1,1,0,1,1,,0,1,0,1,0,0,1,1,,0,0,0,0,0,0,1,0
48.05,223725,1411,P1 On,,,0,1,1,1,1,1,0,0,,1,1,0,1,0,1,0,1,,0,0,0,0,0,0,0,1,,0,0,0,0,1,1,1,1
49.45,225137,1412,P4 On,,,1,0,1,0,1,1,0,1,,1,1,1,1,0,0,1,1,,1,1,0,1,0,0,1,0,,0,1,1,0,1,1,0,0
52.28,227960,2823,P12 Off,,,0,0,0,0,1,0,1,1,,1,1,1,1,0,1,1,0,,0,1,1,1,1,0,1,0,,0,1,0,1,1,1,0,1
52.82,228666,706,P34 Off,,,0,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,,1,1,1,0,1,1,0,1,,0,1,1,0,0,0,0,0
56.53,231975,2601,All Off,,,0,1,0,0,1,0,1,1,,1,0,1,1,1,0,0,1,,0,1,0,1,1,1,0,1,,0,1,0,1,0,1,1,1
56.83,232549,574,All Ps flash on each person going down row,,,1,0,0,0,0,1,1,1,,0,0,0,0,1,1,1,0,,1,0,0,1,1,0,1,0,,0,0,1,0,0,1,1,0
58.28,233960,1411,P's flicker red and yellow,,,1,0,0,1,1,1,0,1,,1,1,1,1,1,0,1,1,,0,0,0,0,0,1,1,0,,1,1,1,0,0,0,0,1
59.7,235196,1236,All On,,,0,0,0,1,1,0,0,1,,1,1,1,0,0,1,1,0,,1,1,1,0,1,1,1,0,,1,1,0,0,0,0,0,1
1 10.64,246314,11118,All Lights from top to bottom,,,1,0,1,0,1,1,0,0,,0,0,1,0,0,0,1,1,,0,0,0,1,0,0,1,0,,1,0,0,0,0,1,1,0
,247725,1411,,,,0,0,0,1,0,0,0,1,,0,1,1,0,1,0,0,1,,1,0,0,0,1,0,0,1,,0,0,0,1,0,1,1,0
,248255,530,,,,0,0,0,0,1,1,0,0,,1,1,1,0,0,0,1,1,,1,1,1,0,0,1,0,0,,1,0,0,0,1,1,0,1
1 13.45,249137,882,All Lights from bottom to top,,,0,1,0,1,1,1,0,0,,0,1,1,0,1,0,1,0,,0,0,0,0,1,0,0,0,,0,0,1,1,0,1,0,1
,250549,1412,,,,1,0,1,0,0,0,1,0,,1,0,0,0,0,0,1,1,,1,0,0,0,1,1,1,1,,1,1,0,1,1,0,0,0
,251078,529,,,,0,1,1,1,1,0,1,0,,1,1,1,0,1,1,1,1,,0,0,1,1,0,0,1,0,,1,0,0,0,0,0,1,0
,257608,6530,,,,0,0,1,0,1,0,1,1,,0,0,0,1,1,0,1,0,,0,0,0,1,1,1,1,1,,0,1,0,1,1,1,0,0
,259372,1764,,,,0,0,0,1,1,1,1,0,,0,0,1,1,1,1,1,0,,0,0,0,0,1,0,0,0,,1,1,0,1,0,1,0,0
,261137,1765,,,,0,0,0,0,0,0,0,0,,1,1,1,1,0,1,0,1,,1,1,1,1,0,1,1,0,,0,0,1,1,1,1,1,1
